Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
W98-3,7,16.2,17.7,metres,16.2,17.7,16.2,17.1,sand,,grey brown,"Coarse grained, few pebbles, mostly igneous and quartzite, grey brown, loose and massive","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
W98-3,7,16.2,17.7,metres,16.2,17.7,17.1,17.7,till and sand,,dark grey,"Dark grey, sandy clay till with numerous sand filled fractures","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,0.91,2.44,metres,0.91,0.94,0.91,0.94,till,,dark brown-grey,as above,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,0.91,2.44,metres,0.94,2.13,0.94,2.13,till,,dark grey-brown,"C-soil horizon, strongly calcareous, dark grey-brown, clayey silt, friable, clasts: ironstone, igneous and quartzite; moderately oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,0.91,2.44,metres,2.13,2.34,2.13,2.44,till,,dark brown,"dark brown, oxidized, massive, few pebbles, silty, soft","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,2.44,3.96,metres,2.44,3.73,2.44,3.73,till,,dark grey-brown,"dark grey-brown, soft, three strongly oxidized sand lenses (1 cm thick each), massive, clasts: igneous, minor limestone and quartzite","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,2.44,3.96,metres,3.73,3.96,3.73,3.96,till,,dark grey-brown,"moderately calcareous, horizontal dark grey-brown and dark brown bands reflecting oxidization along horizontal fractures, 3 cm oxidized sand lens at base","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,3.96,5.49,metres,3.96,4.03,3.96,4.03,till,,dark grey-brown,"dark grey-brown, minor sand lens, same as above","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,3.96,5.49,metres,4.03,4.11,4.03,4.11,clay,,mottled dark grey-brown and brown,"silty, mottled dark grey-brown and brown, strongly oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,3.96,5.49,metres,4.11,4.49,4.11,4.49,silt,,mottled dark brown and dark orange-brown,"saturated, mottled dark brown and dark orange-brown, strongly oxidized, loose","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,3.96,5.49,metres,4.49,4.79,4.49,4.79,sand,,orange-brown,"orange-brown, strongly oxidized, medium to coarse-grained, minor pebbles to 4 cm, clasts: igneous and quartzite","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,3.96,5.49,metres,4.79,5.11,4.79,5.49,till,,black,"black, slightly oxidized, silty clay, very stiff, strongly iron-oxidized horizontal fractures, non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,5.49,7.01,metres,5.49,6.79,5.49,6.91,till,,black,"black, silty clay, very stiff, hard, massive, non-calcareous, 1% pebbles and granules, clasts: black shale and grey sandstone cobble; no visible limestone; beds with concentrations of granules and olive-coloured clasts (weathered kimberlite?), non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,7.01,8.53,metres,6.91,8.49,6.91,8.49,till,,black,"same as above, black, very stiff, clayey, massive, unoxidized, few pebbles, numerous olive-rich bands and granules in till, greenish and white weathered (kimberlite?) clasts in olive bands dipping 20 to 30 degrees, minor kimberlite clasts throughout","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,8.53,10.05,metres,8.49,9.24,8.49,9.24,till,,black,"same as above but less olive-coloured kimberlite material, abrupt contact with unit below","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,8.53,10.05,metres,9.24,9.51,9.24,9.51,sandstone,,dark grey,"concretions, very hard, calcareous cement, dark grey with brown weathering rind, broken from drilling","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,8.53,10.05,metres,9.51,9.98,9.51,9.98,sandstone,,grey-brown,"grey brown, slightly oxidized, very fine-grained, soft, poorly consolidated, moderately calcareous, fractures with minor offsets","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,10.05,11.58,metres,9.98,10.08,9.98,10.08,sandstone,,grey,"carbonaceous laminae dipping 20 degrees, fine-grained, grey, sharp 20 degree contact with unit below","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,10.05,11.58,metres,10.08,10.78,10.08,10.78,mudstone,,dark grey and dark olive-grey,"dark grey and dark olive grey, bedded, slightly oxidized, one 1 cm thick strongly oxidized sand bed, siltstone interbeds","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,10.05,11.58,metres,10.78,11.5,10.78,11.5,siltstone,,dark grey,"dark grey, non-calcareous, unoxidized, 1 thin buff-coloured mudstone bed, some moderately hard layers, fractured","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-07,3,11.58,13.11,metres,11.5,13.11,11.5,13.11,siltstone,,very dark grey,"very dark grey, non-calcareous, interbeds of mudstone, coarsening up from mudstone to siltstone; TD at 13.11 m","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,0,0.91,metres,0,0.02,0,0.02,organic soil,,black,black,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,0,0.91,metres,0.02,0.1,0.02,0.1,silt,,light grey,"Ae, light grey","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,0,0.91,metres,0.1,0.4,0.1,0.4,silt,,light brown,"light brown, massive, Ae/B soil transition, oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,0,0.91,metres,0.4,0.7,0.4,0.7,till,,dark brown,"clayey silt, dark brown, pebbles and granules, faint sub-horizontal banding, non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,0.91,1.22,metres,0.7,1.1,0.7,1.1,till,,,"very poor recovery, pushing on rock, moved rig over 1 m and drilled 1.22 m to core point depth","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,1.22,2.44,metres,1.1,2.44,1.1,2.44,till,,dark grey-brown,"dark grey-brown, clayey silt, massive, oxidized, 4% granules: abundant limestone, igneous, ironstone, quartzite and minor black shale clasts; strongly calcareous, many rotten clasts, soft","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,2.44,3.05,metres,2.44,3.16,2.44,3.16,till,,very dark grey-brown,"very dark grey-brown, soft, abundant carbonate, clasts as above including gneiss, mottled, strongly oxidized, gradational contact with unit below","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,2.44,3.05,metres,3.16,3.51,3.16,3.51,sand,,dark brown,"fining upwards, dark brown, oxidized, many granules, bedded","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,3.05,3.96,metres,3.51,3.92,3.51,3.92,no recovery,,,"auger refusal on stone, drilled down with plug to core point","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,3.96,5.49,metres,3.92,4,3.92,4,till,,dark grey-brown,"dark grey-brown, clayey silt, massive, strongly calcareous, same till as above","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,3.96,5.49,metres,4,4.68,4,4.68,till,,grey,"grey, oxidized, much lighter colour than till above, silty clay, non-calcareous, numerous high-angle strongly oxidized fractures, few clasts","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,3.96,5.49,metres,4.68,4.93,4.68,4.93,till,,tan,"soft and sticky, friable along fractures, minor tan-coloured clay rimmed fractures (peds?) - possible paleo Ae/B soil transition","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,3.96,5.49,metres,4.93,5.49,4.93,5.49,till,,very dark grey-brown,"clayey silt, very dark grey-brown, oxidized, strongly oxidized high-angle fractures, 1 - 2 mm thick iron oxide along fractures, very hard, massive, 2% granules: igneous, quartzite and ironstone clasts; no visible limestone; non-calcareous, minor black shale clasts and local sandstone clasts up to 2 cm","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,5.49,7.01,metres,5.49,6.99,5.49,7.01,till,,very dark grey-brown,"same as above, very dark grey-brown, strongly oxidized along high-angle fractures and low-angle zones 2 cm thick, possible weathered kimberlite material - faint brown low-angle beds 1 cm thick; 3% granules, few pebbles: igneous, quartzite, ironstone and black shale clasts; non-calcareous, iron-cemented nodules and fractures make this till very hard, minor black unoxidized zones between fractures","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,7.01,8.53,metres,7.01,7.57,7.01,7.57,till,,very dark grey-brown,"same as above, very dark grey-brown, strongly oxidized, non-calcareous, large broken clast - iron clay cemented quartz grains","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,7.01,8.53,metres,7.57,8.07,7.57,8.53,till,,very dark grey,"same as above, very dark grey, unoxidized with strongly oxidized horizontal fractures, non-calcareous, very hard and dry","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,8.53,10.05,metres,8.53,9.33,8.53,10.05,till,,very dark grey,"same as above, very dark grey, unoxidized with strongly oxidized fracture zones and clasts to 10 cm, possible hard weathered till clasts that contain 2 mm granules in clayey matrix, till is dense, stiff, higher moisture than previous till, non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,10.05,11.58,metres,10.05,10.86,10.05,11.58,till,,very dark grey,"same as above, but unoxidized, no iron staining, stiff, dense and plastic, higher moisture content, clayey silt, few clasts (2%): igneous, quartzite, black carbonaceous mudstone and minor light grey silty clay clasts, non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,11.58,13.11,metres,11.58,12.14,11.58,12.14,till,,dark grey,"same as above, unoxidized, dark grey, no iron staining, two oxidized sand lenses, zone of possible core loss","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,11.58,13.11,metres,12.14,12.45,12.14,12.68,till,,very dark grey,"very dark grey with numerous strongly oxidized horizontal fractures, clasts: sandstone to 2 mm","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,13.11,14.63,metres,12.68,14.27,12.68,14.27,till,,very dark grey,"clayey silt, very dark grey, same as above, dense and plastic, non-calcareous, mostly unoxidized with brown oxidized horizontal beds that are silt and/or fractures, few clasts (< 2%): igneous, quartzite, black shale and minor pink shale clasts to 2 cm; one high-angle oxidized fracture near top","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,14.63,16.15,metres,14.27,15.85,14.27,15.85,till,,very dark grey,"very dark grey with abundant dark olive-grey oxidized vertical and horizontal zones (likely fractures), very stiff and dense, H2S odour, non-calcareous, 2% clasts: abundant local bedrock, black shale, laminated mudstones clasts and minor white limestone clasts (1st indicator of carbonates since top of hole)","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,16.15,17.68,metres,15.85,17.17,15.85,17.17,till,,very dark grey,"same as above, high-angle oxidized olive-brown fractures, clayey silt, minor fine-grained sand stringers","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,16.15,17.68,metres,17.17,17.45,17.17,17.45,till,,dark grey,"dark grey, 3% clasts: sandstone, quartzite and igneous; clayey silt, slightly calcareous, top 10 cm contains numerous strongly calcareous silt lenses, unoxidized, faint lighter grey colour banding, minor olive-grey oxidation","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,17.68,19.2,metres,17.45,19.06,17.45,19.06,till,,very dark grey,"very dark grey, same as above, slightly calcareous, clayey silt, unoxidized, minor oxidization zones, 1 olive green clast - 2 cm (likely kimberlite), minor sulphides (marcasite), minor white limestone clasts, hard dark grey siltstone clasts, stiff and dense, minor sand lenses","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,19.2,20.78,metres,19.06,20.67,19.06,20.67,till,,very dark grey,"same as above, very dark grey, slightly calcareous, massive, stiff, clayey silt, minor silt stringers, unoxidized with mottled dark olive grey oxidation (marble looking), 1 clast - 1 cm grey with white mottling - ash clast?,other clasts: igneous, quartzite and shale; pink sand lens near bottom of core","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,20.78,22.25,metres,20.67,22.25,20.67,22.25,till,,very dark grey,"same as above, minor olive-brown oxidized zones, minor sulphide, minor black carbonaceous bands with fine-grained pink sand lens, clasts (1%): igneous, quartzite and shale; minor light grey silt stringers, slightly calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,22.25,23.78,metres,22.25,23.7,22.25,23.7,till,,very dark grey,"same as above, very dark grey, slightly calcareous, unoxidized, one horizontal olive green oxidized fracture, clasts: Athabasca sandstone, minor igneous, quartzite and black shale; 15 cm pink sand bed near top, minor light grey silt, minor sulphides, minor green clasts (kimberlite?)","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,23.78,25.3,metres,23.7,25.3,23.7,25.3,till,,very dark grey,"same as above, unoxidized, slightly calcareous, light grey silt stringers, pink sand lenses, sample taken of 4 cm olive green soft clast found in base of core, 2 cm medium-grained grey saturated sand lens near bottom, clasts: igneous, quartzite, chert, shale and minor white limestone; one 6 cm clast of carbonate-cemented siltstone","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,25.3,26.82,metres,25.3,26.56,25.3,26.77,till,,very dark grey,"continuation of green clast in top 5 cm of core, minor sulphides, igneous, shale, minor white limestone, black chert and quartzite clasts, minor grey sand lenses, slightly calcareous, olive green clast at bottom of core","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,26.82,28.37,metres,26.77,27.37,26.77,27.37,till,,very dark grey,"silty, sandy, moderately calcareous, fine-grained interbeds of grey sand/silt","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,26.82,28.37,metres,27.37,28.37,27.37,28.37,till,,very dark grey,"silty clay, non-calcareous, very dark grey, more clay than till above, light grey silt stringers, chert, igneous, Athabasca sandstone, minor ironstone, minor white friable carbonaceous, minor olive green kimberlite and minor suplide clasts","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,28.37,29.87,metres,28.37,28.47,28.37,28.47,till,,very dark grey,"same as above, non-calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,28.37,29.87,metres,28.47,29,28.47,29,till,,dark grey,"dark grey, silty, same till but slightly siltier and slightly calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,28.37,29.87,metres,29,29.5,29,29.87,till,,dark grey,"same as above, non-calcareous to slightly calcareous, laminated silty mudstone clasts, igneous, Athabasca sandstone and quartzite clasts; 2% granules","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,29.87,31.39,metres,29.87,30.78,29.87,31.3,till,,very dark grey,"silty clay, very dark grey, abundant black shale clasts, till matrix is non-calcareous but contains white calcareous blebs, same as above, massive","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,31.39,32.92,metres,31.3,32.87,31.3,32.87,till,,very dark grey,"core twisted and deformed from drilling, very dark grey, massive, stiff, non-calcareous, clayey silt, sulphide nodules, minor olive oxidized fracture zones, unoxidized matrix, minor sandy till bands (soft), small white calcareous silt clasts, 2% clasts: igneous, quartzite, black shale, minor brown siltstone and Athabasca sandstone","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,32.92,34.44,metres,32.87,32.95,32.87,32.95,till,,very dark grey,same as above,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,32.92,34.44,metres,32.95,33.37,32.95,33.37,sand,,grey,"fine-grained, grey, saturated, oxidized vertical fractures, diamicton interbeds, loose, soft, non-calcareous, minor pebbles","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,32.92,34.44,metres,33.37,34.44,33.37,34.44,till,,grey,"same as above, clayey silt, massive, unoxidized very dark grey, numerous olive-brown oxidized zones, clasts: igneous, quartz, Athabasca sandstone, black shale, minor sulphide and minor small white calcareous (shell?) clasts; stiff and dense, faint horizontal banding","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,34.44,35.96,metres,34.44,34.84,34.44,34.84,sand,,grey,"grey, medium to coarse-grained, well sorted, saturated, clean, one till bed 5 cm thick","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-08,3,34.44,35.96,metres,34.84,34.88,34.84,34.88,till,,grey,same as above; auger refusal in wet sand - TD at 35.96 m,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,0,1.53,metres,0,1.53,0,1.53,sand and gravel,,brown,"drill cuttings, brown, oxidized, medium to coarse-grained sand, clasts: quartzite, igneous and limestone","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,1.53,2.44,metres,1.53,2.44,1.53,2.44,till,,brown,"drill cuttings, brown, oxidized, clayey silt, non-calcareous, drilled to core point - 2.4 m","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,2.44,3.96,metres,2.44,2.94,2.44,2.94,till,,olive-brown,"olive-brown, strongly oxidized, clayey silt, massive, strongly calcareous, clasts: carbonaceous, igneous, limestone and quartzite","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,2.44,3.96,metres,2.94,3.66,2.94,3.85,sand and silt,,brown,"sand and silt with till interbeds, brown strongly oxidized, bedded horizontally, numerous granules and pebbles, strongly calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,3.96,5.49,metres,3.85,5.17,3.85,5.17,sand,,brown,"brown, medium to coarse-grained, saturated, loose, oxidized, clasts: chert, igneous, quartzite and limestone; minor brown silty clay interbeds","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,5.49,7.01,metres,5.17,6.41,5.17,6.41,sand,,brown,"as above, brown, strongly oxidized, well sorted","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,5.49,7.01,metres,6.41,6.42,6.41,6.42,clay,,dark brown,"sandy, horizontal bedding, dark brown, moderately oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,5.49,7.01,metres,6.42,6.64,6.42,6.64,sand,,dark brown,"dark brown, moderately oxidized, horizontal interbedded medium and coarse-grained sand, clasts: quartzite, igneous and shale","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,5.49,7.01,metres,6.64,6.68,6.64,6.68,sand and gravel,,brownish grey,"brownish grey, unoxidized, poorly sorted, angular clasts to 4 cm, quartzite and igneous clasts","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,7.01,8.53,metres,6.68,8.2,6.68,8.2,sand,,brown,"gravely, oxidized, brown, poorly sorted, pebbles to 2 cm, minor beds of grey unoxidized sandy clay, clasts: igneous, quartzite, black shale, chert and ironstone","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,8.53,10.06,metres,8.2,9.8,8.2,9.8,silt,,grey,"clay interbeds, grey, silt beds calcareous in upper 80 cm becoming non-calcareous at bottom, horizontally bedded, unoxidized, very soft and sticky, moist","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,10.06,11.58,metres,9.8,10.24,9.8,10.24,mudstone,,dark orange,"dark orange, light grey silty horizontally bedded laminae, soft, sticky","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,10.06,11.58,metres,10.24,10.29,10.24,10.29,gravel,,grey,"glacial - clasts: igneous, Athabasca sandstone and quartzite; pebbles to 2 cm embedded in grey clay matrix, unoxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,10.06,11.58,metres,10.29,11.4,10.29,11.4,mudstone,,grey,same as above,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,11.58,13.11,metres,11.4,13,11.4,13,siltstone,,grey,"interbedded with very fine-grained sand and mudstone laminae, horizontally bedded, unoxidized, grey, non-calcareous, small clast of possible amber, minor olive-grey oxidized beds, minor black carbonaceous laminae, very soft, faint sulphur odour upon application of HCl, shell fragments","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,13.11,14.63,metres,13,14.55,13,14.55,siltstone,,dark grey,"dark grey, clayey, horizontally bedded, minor mudstone interbeds and fine to medium-grained dark greenish grey sandstone, non-calcareous, moderately stiff","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-09,3,14.63,16.15,metres,14.55,16.15,14.55,16.15,mudstone,,dark grey,"dark grey, silty, horizontal bedding, numerous light grey silt and very fine-grained sand laminae, minor dark green fine-grained sand laminae, unoxidized, soft, non-calcareous; TD at 16.15 m","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,0,0.91,metres,0,0.06,0,0.06,topsoil,,,Ae-soil horizon,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,0,0.91,metres,0.06,0.91,0.06,0.91,till,,grey-brown,"grey-brown, B-soil horizon, massive, non-calcareous, clasts: strongly oxidized local sandstone, igneous, quartzite and black shale; sandy silt, moderately oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,0.91,2.44,metres,0.91,2.42,0.91,2.42,till,,dark brown,"dark brown, abundant local weathered bedrock - mudstone, siltstone, numerous rotten limestone clasts, strongly calcareous, soft, rootlets, massive, 1% clasts: igneous, quartzite, chert and black shale; minor strongly oxidized horizontal fractures","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,0.91,2.44,metres,2.42,2.44,2.42,2.44,sand,,brown,"coarse-grained, brown, oxidized","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,2.44,3.96,metres,2.44,2.48,2.44,2.48,sand,,brown,same as above,"Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,2.44,3.96,metres,2.48,3.96,2.48,3.96,till,,grey-brown,"grey-brown, soft, same as above, slightly higher clast content - 2%, grey unoxidized root zones; minor dark grey shale","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,3.96,5.48,metres,3.96,4.56,3.96,4.56,till,,grey-brown,"same as above, grey-brown, soft, moderately oxidized, strongly calcareous","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,3.96,5.48,metres,4.56,5.48,4.56,5.48,till,,brown,"oxidized; brown, slightly calcareous, strongly oxidized, minor grey unoxidized mottled zones and 8 cm strongly oxidized local sandstone clast, appears to be richer in local bedrock, clasts: igneous, quartzite, brown shale and ironstone, no visible limestone","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
BHH02-10,3,5.48,7.01,metres,5.48,6.52,5.48,6.52,till,,brown,"same as above, fewer clasts, strongly oxidized vertical fractures, minor coal clasts","Int_top_depth and Int_bot_depth were corrected based on the amount of material recovered. Interval depth corrections were done by L. Andriashek, 2013."
